command line: ../SSG/exact-counting_pcap.py vpp_generator_capture.pcap vpp_generator_capture_ref.txt --parsing_mode 1
simulation time: 0:05:22.802926
==========================================
Global HLL: 186198 722
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
239 	 11.12.33.126 	 0.128		||	13913 	 0.0704	|	468 	 3.36
239 	 11.12.33.127 	 0.128		||	13916 	 0.0705	|	350 	 2.52
239 	 11.12.33.124 	 0.128		||	13913 	 0.0704	|	468 	 3.36
239 	 11.12.33.125 	 0.128		||	13914 	 0.0705	|	351 	 2.52
239 	 11.12.34.222 	 0.128		||	13900 	 0.0704	|	349 	 2.51
239 	 11.12.34.223 	 0.128		||	13898 	 0.0704	|	404 	 2.91
239 	 11.12.34.220 	 0.128		||	13899 	 0.0704	|	700 	 5.04
239 	 11.12.34.221 	 0.128		||	13900 	 0.0704	|	465 	 3.35
239 	 11.12.34.226 	 0.128		||	13894 	 0.0704	|	640 	 4.61
239 	 11.12.34.227 	 0.128		||	13893 	 0.0703	|	464 	 3.34
239 	 11.12.34.224 	 0.128		||	13896 	 0.0704	|	345 	 2.48
239 	 11.12.34.225 	 0.128		||	13896 	 0.0704	|	292 	 2.1
239 	 11.12.34.228 	 0.128		||	13892 	 0.0703	|	583 	 4.2
239 	 11.12.34.229 	 0.128		||	13892 	 0.0703	|	408 	 2.94
239 	 11.12.35.76 	 0.128		||	13890 	 0.0703	|	408 	 2.94
239 	 11.12.33.79 	 0.128		||	13908 	 0.0704	|	467 	 3.36
239 	 11.12.33.78 	 0.128		||	13909 	 0.0704	|	460 	 3.31
239 	 11.12.33.71 	 0.128		||	13909 	 0.0704	|	635 	 4.57
239 	 11.12.33.70 	 0.128		||	13910 	 0.0704	|	230 	 1.65
239 	 11.12.33.73 	 0.128		||	13911 	 0.0704	|	524 	 3.77
239 	 11.12.33.72 	 0.128		||	13911 	 0.0704	|	234 	 1.68
239 	 11.12.33.75 	 0.128		||	13911 	 0.0704	|	582 	 4.18
239 	 11.12.33.74 	 0.128		||	13912 	 0.0704	|	346 	 2.49
239 	 11.12.33.77 	 0.128		||	13909 	 0.0704	|	234 	 1.68
239 	 11.12.33.76 	 0.128		||	13909 	 0.0704	|	530 	 3.81
239 	 11.12.34.125 	 0.128		||	13903 	 0.0704	|	292 	 2.1
239 	 11.12.34.124 	 0.128		||	13900 	 0.0704	|	581 	 4.18
239 	 11.12.34.127 	 0.128		||	13902 	 0.0704	|	643 	 4.63
239 	 11.12.34.126 	 0.128		||	13903 	 0.0704	|	469 	 3.37
239 	 11.12.34.121 	 0.128		||	13898 	 0.0704	|	464 	 3.34
239 	 11.12.34.120 	 0.128		||	13898 	 0.0704	|	289 	 2.08
239 	 11.12.34.123 	 0.128		||	13899 	 0.0704	|	468 	 3.37
239 	 11.12.34.122 	 0.128		||	13898 	 0.0704	|	350 	 2.52
239 	 11.12.34.129 	 0.128		||	13899 	 0.0704	|	465 	 3.35
239 	 11.12.34.128 	 0.128		||	13901 	 0.0704	|	404 	 2.91
239 	 11.12.33.229 	 0.128		||	13908 	 0.0704	|	523 	 3.76
239 	 11.12.33.228 	 0.128		||	13906 	 0.0704	|	529 	 3.8
239 	 11.12.33.225 	 0.128		||	13909 	 0.0704	|	467 	 3.36
239 	 11.12.33.224 	 0.128		||	13909 	 0.0704	|	460 	 3.31
239 	 11.12.33.227 	 0.128		||	13906 	 0.0704	|	351 	 2.52
239 	 11.12.33.226 	 0.128		||	13908 	 0.0704	|	639 	 4.59
239 	 11.12.33.221 	 0.128		||	13911 	 0.0704	|	407 	 2.93
239 	 11.12.33.220 	 0.128		||	13912 	 0.0704	|	233 	 1.67
239 	 11.12.33.223 	 0.128		||	13908 	 0.0704	|	292 	 2.1
239 	 11.12.33.222 	 0.128		||	13910 	 0.0704	|	756 	 5.43
239 	 11.12.35.68 	 0.128		||	13892 	 0.0703	|	467 	 3.36
239 	 11.12.35.69 	 0.128		||	13890 	 0.0703	|	348 	 2.51
239 	 11.12.35.141 	 0.128		||	13895 	 0.0704	|	289 	 2.08
239 	 11.12.35.119 	 0.128		||	13897 	 0.0704	|	232 	 1.67
239 	 11.12.35.195 	 0.128		||	13902 	 0.0704	|	291 	 2.09
239 	 11.12.35.64 	 0.128		||	13892 	 0.0703	|	697 	 5.02
239 	 11.12.35.65 	 0.128		||	13892 	 0.0703	|	231 	 1.66
239 	 11.12.35.194 	 0.128		||	13903 	 0.0704	|	465 	 3.34
239 	 11.12.33.168 	 0.128		||	13909 	 0.0704	|	352 	 2.53
239 	 11.12.33.169 	 0.128		||	13908 	 0.0704	|	583 	 4.19
239 	 11.12.33.166 	 0.128		||	13911 	 0.0704	|	637 	 4.58
239 	 11.12.33.167 	 0.128		||	13909 	 0.0704	|	409 	 2.94
239 	 11.12.33.164 	 0.128		||	13911 	 0.0704	|	464 	 3.34
239 	 11.12.33.165 	 0.128		||	13911 	 0.0704	|	467 	 3.36
239 	 11.12.33.162 	 0.128		||	13909 	 0.0704	|	294 	 2.11
239 	 11.12.33.163 	 0.128		||	13909 	 0.0704	|	460 	 3.31
239 	 11.12.33.160 	 0.128		||	13910 	 0.0704	|	349 	 2.51
239 	 11.12.33.161 	 0.128		||	13910 	 0.0704	|	402 	 2.89
239 	 11.12.35.37 	 0.128		||	13891 	 0.0703	|	175 	 1.26
239 	 11.12.35.36 	 0.128		||	13893 	 0.0703	|	349 	 2.51
239 	 11.12.35.35 	 0.128		||	13892 	 0.0703	|	234 	 1.68
239 	 11.12.35.34 	 0.128		||	13892 	 0.0703	|	463 	 3.33
239 	 11.12.35.33 	 0.128		||	13892 	 0.0703	|	405 	 2.92
239 	 11.12.35.32 	 0.128		||	13892 	 0.0703	|	173 	 1.25
239 	 11.12.35.31 	 0.128		||	13892 	 0.0703	|	233 	 1.68
239 	 11.12.35.30 	 0.128		||	13893 	 0.0703	|	172 	 1.24
239 	 11.12.35.39 	 0.128		||	13891 	 0.0703	|	115 	 0.828
239 	 11.12.35.38 	 0.128		||	13892 	 0.0703	|	403 	 2.9
239 	 11.12.33.22 	 0.128		||	13905 	 0.0704	|	468 	 3.37
239 	 11.12.33.23 	 0.128		||	13904 	 0.0704	|	580 	 4.17
239 	 11.12.33.20 	 0.128		||	13904 	 0.0704	|	526 	 3.78
239 	 11.12.33.21 	 0.128		||	13905 	 0.0704	|	407 	 2.93
239 	 11.12.33.26 	 0.128		||	13911 	 0.0704	|	230 	 1.65
239 	 11.12.33.27 	 0.128		||	13911 	 0.0704	|	526 	 3.78
239 	 11.12.33.24 	 0.128		||	13906 	 0.0704	|	468 	 3.37
239 	 11.12.33.25 	 0.128		||	13909 	 0.0704	|	524 	 3.77
